fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
6,2026-09-24T18:00Z,57.24,-170.91,968.1,70.2,-123.3,30.9,0.37,3,5.2,-133.0,5.9,14.1,13.5,328.6,24.0,8.2
12,2026-09-25T00:00Z,58.61,-170.29,959.4,146.8,-47.3,11.2,1.36,3,144.2,-37.2,14.3,14.7,300.9,308.4,23.7,24.5
18,2026-09-25T06:00Z,58.74,-175.65,960.9,160.5,-76.3,5.9,1.20,1,154.9,-77.7,6.0,21.7,255.1,256.0,16.6,18.5
24,2026-09-25T12:00Z,57.50,-178.19,965.9,165.9,-90.6,9.5,1.14,1,123.8,-120.1,8.6,12.2,197.7,192.8,9.6,21.7
30,2026-09-25T18:00Z,56.42,-177.03,968.6,-36.2,1.9,18.3,-0.67,6,-55.8,-27.5,19.9,13.5,108.7,120.9,10.9,26.1
36,2026-09-26T00:00Z,56.63,-173.50,966.5,-53.7,-27.0,15.5,-1.24,4,-65.3,-48.0,18.4,16.1,75.5,88.2,14.6,19.1
42,2026-09-26T06:00Z,57.22,-171.36,966.2,-56.0,-51.9,-0.6,-1.49,5,-55.0,-87.6,1.1,13.6,84.0,94.2,13.8,-1.8
48,2026-09-26T12:00Z,56.92,-168.58,969.4,0.3,-57.5,-6.4,-0.51,1,-26.4,-96.9,-6.9,18.1,93.1,87.6,20.1,-5.3
54,2026-09-26T18:00Z,57.03,-164.71,973.4,-12.0,-110.6,-6.5,-1.04,5,-55.6,-151.8,-6.3,19.0,72.7,78.1,19.8,-5.3
60,2026-09-27T00:00Z,58.04,-161.85,976.1,12.1,-82.6,-3.5,-0.44,1,-11.1,-95.0,-2.9,11.6,50.7,65.7,13.1,-5.4
66,2026-09-27T06:00Z,58.49,-161.36,978.9,45.5,-77.2,-1.7,0.20,1,25.9,-89.6,-1.7,4.8,95.8,90.2,10.0,-1.7
72,2026-09-27T12:00Z,57.95,-160.05,983.0,53.6,-122.9,-0.6,0.14,1,27.1,-141.4,-0.4,11.6,108.8,91.3,14.3,2.1
78,2026-09-27T18:00Z,57.75,-157.22,986.8,-7.0,-148.6,1.8,-1.04,5,-30.0,-163.1,1.3,13.2,93.4,85.9,13.4,2.6
84,2026-09-28T00:00Z,57.79,-155.09,989.7,-17.2,-170.7,2.9,-1.28,5,-47.6,-180.0,2.6,15.1,80.8,77.7,12.5,2.5
90,2026-09-28T06:00Z,58.23,-151.61,990.8,-11.0,-154.1,2.6,-1.13,5,-32.0,-159.0,1.1,20.9,79.7,62.4,9.0,0.4
96,2026-09-28T12:00Z,58.53,-147.30,994.0,-25.6,-182.4,3.0,-1.45,5,-43.3,-184.2,1.3,11.9,77.4,39.9,9.3,-0.6
102,2026-09-28T18:00Z,58.74,-147.18,994.1,6.9,-174.4,4.6,-0.80,,-1.4,-144.7,-3.8,10.8,162.6,45.2,3.9,-3.2
108,2026-09-29T00:00Z,56.47,-146.10,994.2,0.4,-116.9,-0.3,-0.81,5,-17.9,-99.6,-1.7,12.5,124.0,94.3,12.6,-0.8
114,2026-09-29T06:00Z,57.35,-143.27,994.0,27.2,-100.9,1.1,-0.23,1,13.9,-103.5,0.8,20.3,66.9,105.6,9.9,-0.9
120,2026-09-29T12:00Z,58.07,-139.20,994.7,-25.7,-87.8,2.4,,,-13.1,-71.7,-0.5,10.7,74.2,95.5,9.9,-2.3
126,2026-09-29T18:00Z,57.93,-139.43,997.8,-48.3,-100.0,6.4,,,-62.5,-97.1,-1.4,1.8,222.0,99.7,12.5,0.1
