fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T12:00Z,16.62,-104.12,952.6,129.9,256.6,,2.71,,179.4,236.3,5.7,11.4,282.7,289.8,3.5,3.5
6,2026-09-24T18:00Z,16.88,-105.29,952.1,104.5,294.8,8.6,2.55,0,129.2,254.1,10.4,8.6,278.4,288.8,4.9,8.0
12,2026-09-25T00:00Z,16.88,-105.90,954.8,38.3,186.0,8.2,1.68,,47.8,157.0,8.4,7.8,277.1,278.2,3.5,6.3
18,2026-09-25T06:00Z,17.07,-106.90,951.3,69.2,207.2,9.1,2.17,0,77.6,169.1,9.1,9.9,278.9,278.9,5.9,6.9
24,2026-09-25T12:00Z,17.18,-107.93,950.0,56.9,267.7,4.6,2.01,0,72.3,224.8,4.6,9.3,272.0,270.7,5.8,2.0
30,2026-09-25T18:00Z,17.13,-108.85,951.1,72.6,277.4,3.0,2.23,0,90.3,237.0,2.8,8.1,272.0,276.6,7.3,1.0
36,2026-09-26T00:00Z,17.23,-109.62,955.2,58.4,292.4,4.3,2.05,0,68.1,252.9,4.3,8.3,275.4,277.4,6.1,1.4
42,2026-09-26T06:00Z,17.29,-110.57,951.0,92.8,250.8,7.1,2.45,0,106.8,226.8,6.9,8.5,282.1,289.0,7.4,4.7
48,2026-09-26T12:00Z,17.59,-111.37,952.6,82.0,255.2,4.6,2.34,0,91.2,215.2,4.8,8.5,294.1,310.0,6.5,2.0
54,2026-09-26T18:00Z,17.98,-112.20,953.2,83.1,288.3,1.7,2.36,0,99.9,251.1,2.4,8.3,307.9,325.5,8.3,0.8
60,2026-09-27T00:00Z,18.61,-112.75,954.3,55.0,279.7,5.1,1.99,0,76.1,252.1,6.1,9.2,325.9,344.2,7.9,4.4
66,2026-09-27T06:00Z,19.51,-113.29,954.6,62.7,300.3,5.6,2.11,0,91.5,276.2,6.6,10.3,333.3,349.3,9.7,4.6
72,2026-09-27T12:00Z,20.45,-113.73,956.0,59.4,302.4,4.0,2.06,0,88.0,273.4,4.2,10.8,341.1,358.7,9.6,2.5
78,2026-09-27T18:00Z,21.56,-114.04,959.5,51.9,311.5,2.9,1.95,0,72.8,271.3,3.5,11.9,346.6,353.4,10.9,2.9
84,2026-09-28T00:00Z,22.75,-114.32,957.4,38.6,334.2,10.4,1.73,2,66.7,282.9,11.6,10.9,351.3,4.1,10.2,10.3
90,2026-09-28T06:00Z,23.71,-114.40,961.2,50.5,319.2,5.3,1.93,0,70.2,268.5,6.8,9.4,3.1,14.8,10.2,6.7
96,2026-09-28T12:00Z,24.62,-114.21,962.7,71.0,287.1,-3.1,2.21,0,84.4,246.3,-1.1,8.5,23.5,39.4,10.2,1.2
102,2026-09-28T18:00Z,25.26,-113.65,966.9,70.2,256.1,-3.7,2.20,0,83.6,217.7,-3.7,10.0,44.8,44.7,11.9,-0.5
108,2026-09-29T00:00Z,26.04,-112.66,966.9,51.1,221.3,-6.4,1.92,0,72.9,189.1,-6.5,11.7,52.0,61.5,14.4,-0.8
114,2026-09-29T06:00Z,26.70,-111.61,975.8,53.1,162.9,-0.8,1.90,0,70.5,157.3,-1.7,11.1,54.7,66.9,15.0,4.0
120,2026-09-29T12:00Z,27.32,-110.63,976.5,119.6,92.9,7.0,2.39,0,112.3,112.8,4.5,10.7,54.5,82.2,16.7,10.6
