fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
6,2026-09-24T18:00Z,81.38,-143.60,977.7,-107.6,71.2,4.7,-0.94,6,-169.2,-59.4,-30.3,2.5,303.3,36.4,4.8,-35.4
12,2026-09-25T00:00Z,81.51,-144.98,978.7,-100.4,93.1,23.1,-0.79,6,-154.6,-24.8,11.3,4.6,19.8,77.6,5.1,5.5
18,2026-09-25T06:00Z,82.25,-141.39,981.3,-155.2,72.2,11.4,-1.21,,-194.2,-51.8,10.7,8.5,50.7,28.4,3.3,12.8
24,2026-09-25T12:00Z,82.59,-135.47,983.7,-175.1,65.5,6.3,-1.30,6,-223.6,-63.8,1.7,4.5,56.2,0.6,4.6,5.9
30,2026-09-25T18:00Z,82.75,-135.61,985.6,-122.0,64.4,,-1.11,,-182.0,-50.7,-3.5,1.9,50.3,17.2,2.8,-0.7
36,2026-09-26T00:00Z,82.83,-133.19,988.6,-148.6,69.6,-1.7,-1.20,6,-197.4,-46.1,-1.8,4.3,68.6,56.2,4.5,1.9
42,2026-09-26T06:00Z,83.07,-129.12,991.5,-150.5,60.9,0.5,-1.27,6,-211.7,-57.7,1.2,8.3,64.1,57.2,5.6,4.2
48,2026-09-26T12:00Z,83.55,-120.59,994.7,-147.5,41.4,3.8,-1.41,6,-208.7,-77.0,4.3,9.9,47.7,40.9,7.9,7.5
54,2026-09-26T18:00Z,84.40,-115.72,997.2,-139.4,54.2,5.4,-1.27,6,-213.0,-66.6,5.0,9.9,31.1,48.8,8.2,5.7
