fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T18:00Z,17.12,-105.02,953.4,95.3,220.7,11.5,2.46,2,119.8,192.3,17.3,9.4,259.3,290.3,5.5,14.0
6,2026-09-25T00:00Z,16.95,-105.99,962.1,29.5,165.0,11.9,1.50,2,44.7,140.3,12.4,9.8,270.6,277.5,4.2,10.7
12,2026-09-25T06:00Z,17.15,-107.07,967.6,94.0,179.1,11.7,2.42,2,98.8,163.5,11.7,10.3,277.1,277.1,6.5,10.0
18,2026-09-25T12:00Z,17.20,-108.12,965.2,51.8,202.5,6.2,1.92,0,67.5,166.0,6.3,9.4,268.3,272.6,6.1,4.5
24,2026-09-25T18:00Z,17.09,-109.04,963.0,79.8,278.8,5.7,2.32,0,87.3,239.9,5.6,8.3,267.6,279.8,7.5,4.5
30,2026-09-26T00:00Z,17.14,-109.85,962.5,70.0,252.7,4.5,2.20,0,71.3,216.9,4.6,8.1,274.3,280.2,6.3,1.8
36,2026-09-26T06:00Z,17.21,-110.73,960.9,90.3,306.9,7.4,2.43,0,95.7,267.2,7.2,8.9,282.0,289.6,7.6,5.0
42,2026-09-26T12:00Z,17.50,-111.66,959.1,85.2,286.2,5.3,2.38,0,105.4,256.9,5.9,9.0,287.2,302.0,6.6,3.4
48,2026-09-26T18:00Z,17.74,-112.53,959.9,85.0,264.0,2.2,2.37,0,103.6,249.9,3.1,8.0,302.5,319.4,7.8,1.6
54,2026-09-27T00:00Z,18.36,-113.07,960.2,45.7,269.8,4.0,1.85,0,68.7,239.9,4.4,8.4,323.3,335.7,7.3,2.1
60,2026-09-27T06:00Z,19.08,-113.58,966.2,57.9,261.6,4.3,2.03,0,86.9,235.8,4.5,9.2,332.7,339.8,8.6,1.6
66,2026-09-27T12:00Z,19.99,-113.96,965.1,62.3,264.1,3.9,2.10,0,86.9,250.2,3.8,10.1,337.2,348.6,8.1,1.6
72,2026-09-27T18:00Z,20.95,-114.41,970.8,32.4,242.0,6.5,1.61,0,58.8,217.1,6.9,10.0,338.6,347.3,9.2,4.6
78,2026-09-28T00:00Z,21.85,-114.75,970.4,31.5,228.1,10.1,1.59,0,44.6,207.9,10.7,9.3,344.6,1.8,8.4,8.6
84,2026-09-28T06:00Z,22.74,-114.94,972.4,34.8,216.7,9.0,1.64,0,55.2,198.4,10.2,8.0,354.8,7.5,8.4,9.2
90,2026-09-28T12:00Z,23.44,-114.90,971.2,52.8,216.7,2.6,1.94,0,70.7,188.7,5.5,6.4,13.9,33.4,7.9,6.2
96,2026-09-28T18:00Z,23.98,-114.61,973.2,38.5,230.3,5.0,1.71,0,55.6,200.5,6.3,6.8,33.0,40.4,8.4,7.9
102,2026-09-29T00:00Z,24.57,-114.10,971.2,48.2,219.3,-3.5,1.87,0,47.1,186.7,-1.1,7.6,53.8,62.7,10.5,5.0
108,2026-09-29T06:00Z,24.87,-113.26,976.5,65.0,186.4,-2.8,2.10,0,74.5,169.7,-2.8,10.4,65.2,65.0,12.0,4.6
114,2026-09-29T12:00Z,25.44,-112.01,979.6,58.4,66.9,-3.7,1.64,0,75.5,95.1,-2.9,13.6,52.4,70.0,15.2,6.1
120,2026-09-29T18:00Z,26.53,-110.88,986.5,41.5,-74.0,7.5,0.16,1,60.2,-24.9,5.5,14.9,49.8,69.8,18.0,10.2
126,2026-09-30T00:00Z,27.37,-109.47,993.2,-8.8,-119.8,11.8,-1.01,4,-21.0,-95.5,9.5,15.2,56.2,78.9,21.0,8.1
