fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
6,2026-09-24T18:00Z,62.47,-21.44,959.1,133.6,-147.0,15.8,0.84,3,127.9,-101.7,13.0,18.6,53.4,42.3,13.7,8.5
12,2026-09-25T00:00Z,63.58,-18.15,963.6,90.9,-130.9,5.3,0.58,1,89.3,-85.5,2.3,16.3,54.4,34.2,17.5,-0.7
18,2026-09-25T06:00Z,64.38,-15.51,969.5,89.3,-105.0,-7.1,0.63,,80.6,-75.2,-11.2,6.8,54.3,33.6,18.7,-15.1
24,2026-09-25T12:00Z,64.38,-15.62,975.4,112.2,-37.5,-13.2,,,99.5,-22.5,17.0,6.5,247.3,43.1,18.0,22.8
30,2026-09-25T18:00Z,63.88,-18.25,979.2,52.4,40.1,-12.1,,,70.6,50.1,-12.6,1.7,192.5,74.6,13.8,-1.7
36,2026-09-26T00:00Z,64.04,-15.80,980.7,14.8,33.7,-7.5,,,24.5,35.7,-0.5,18.4,28.9,67.6,15.8,-10.0
42,2026-09-26T06:00Z,67.08,-13.98,979.3,173.6,-9.4,5.9,1.78,,119.5,-0.7,9.3,16.7,12.1,42.2,3.5,2.2
48,2026-09-26T12:00Z,67.30,-14.10,982.1,128.0,-51.3,11.0,1.24,3,79.5,-54.0,10.4,1.3,351.0,27.1,3.7,4.3
54,2026-09-26T18:00Z,67.35,-14.09,985.5,47.9,-106.3,17.1,0.10,3,-12.2,-96.4,17.3,3.4,27.1,24.3,4.7,16.3
60,2026-09-27T00:00Z,67.92,-13.28,987.5,24.8,-149.1,22.7,-0.42,3,-36.1,-125.0,5.9,2.8,324.5,1.9,6.0,3.6
66,2026-09-27T06:00Z,67.81,-14.95,987.8,76.4,-112.7,25.6,0.47,3,-7.5,-116.7,-25.9,5.2,245.5,346.2,5.6,-23.2
72,2026-09-27T12:00Z,67.48,-15.78,987.8,198.2,-174.1,24.3,0.99,3,82.3,-178.1,-25.7,7.1,233.3,340.3,7.9,-23.6
78,2026-09-27T18:00Z,66.96,-17.92,988.0,203.7,-115.1,,1.12,,162.5,-104.0,26.1,7.2,46.3,300.3,3.3,23.1
84,2026-09-28T00:00Z,68.48,-13.01,988.6,157.2,-149.8,33.1,0.93,3,58.3,-153.1,35.3,26.7,30.5,356.3,10.3,28.9
90,2026-09-28T06:00Z,71.55,-10.26,989.4,189.5,-151.5,41.2,1.00,3,105.5,-144.9,44.9,33.3,25.5,356.5,10.5,38.7
96,2026-09-28T12:00Z,74.48,-4.01,982.8,92.5,-187.5,57.6,0.50,3,0.1,-165.3,56.6,41.7,42.9,13.5,17.4,46.2
102,2026-09-28T18:00Z,77.65,11.08,992.4,-121.1,-326.5,58.5,,,-122.1,-335.0,60.1,39.4,43.3,30.7,27.7,51.6
108,2026-09-29T00:00Z,80.20,20.62,989.1,-156.5,-321.8,75.2,-2.83,4,-156.5,-384.9,70.9,22.9,30.7,39.5,27.3,63.4
114,2026-09-29T06:00Z,81.58,24.04,981.8,-26.7,-284.4,96.9,-1.51,4,-118.7,-354.8,95.4,14.5,38.8,44.0,23.1,84.2
120,2026-09-29T12:00Z,82.46,32.65,978.1,-31.0,-219.4,100.6,-1.57,4,-43.0,-282.6,97.4,16.1,63.4,54.9,19.9,83.1
126,2026-09-29T18:00Z,83.02,45.49,976.1,-26.5,-172.8,94.0,-1.46,4,-35.3,-225.3,91.1,18.1,74.4,70.7,17.5,78.8
132,2026-09-30T00:00Z,83.43,61.07,976.6,-16.1,-194.3,82.1,-1.27,4,-48.6,-251.4,86.8,18.0,79.6,84.3,14.9,77.5
138,2026-09-30T06:00Z,83.67,75.94,976.7,16.7,-160.6,65.4,-0.59,3,-48.6,-238.8,77.3,14.3,83.5,94.1,13.1,71.3
144,2026-09-30T12:00Z,83.75,86.49,977.3,30.4,-115.4,44.1,-0.23,3,-52.4,-210.2,49.2,9.0,94.2,98.2,12.8,45.9
150,2026-09-30T18:00Z,83.54,92.03,977.6,79.1,-61.3,29.1,0.77,3,-10.7,-139.5,-1.0,8.3,112.8,89.8,13.0,-3.9
156,2026-10-01T00:00Z,83.11,99.90,979.1,-37.8,-90.7,35.3,-1.43,4,-106.4,-155.1,10.9,10.0,90.5,68.3,12.3,11.2
162,2026-10-01T06:00Z,83.52,109.67,980.9,-60.0,-58.0,52.9,-1.59,4,-147.5,-91.3,40.9,10.7,55.5,40.6,11.0,43.1
168,2026-10-01T12:00Z,84.31,115.94,983.7,-106.1,-18.8,44.1,-1.75,4,-184.7,-63.5,51.2,8.9,26.4,35.5,8.0,49.8
174,2026-10-01T18:00Z,85.12,117.68,986.5,-196.5,-22.1,5.3,-2.14,5,-231.6,-64.0,29.0,8.2,11.3,35.5,5.9,28.2
