fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
6,2026-09-24T18:00Z,60.73,-58.55,999.8,-258.9,-289.5,42.9,-2.97,4,-298.8,-300.0,41.5,30.3,120.2,116.0,35.1,41.2
12,2026-09-25T00:00Z,59.20,-53.33,998.7,-230.0,-287.7,32.0,-2.95,4,-284.7,-311.5,33.1,36.5,115.6,118.3,33.0,34.2
18,2026-09-25T06:00Z,57.57,-45.73,994.6,-168.7,-260.9,40.4,-2.86,4,-248.0,-289.9,38.7,33.4,113.9,105.8,31.6,38.0
24,2026-09-25T12:00Z,56.50,-41.87,991.6,-70.4,-282.7,34.5,-2.21,4,-120.8,-282.9,32.6,23.4,105.5,97.5,30.2,31.1
30,2026-09-25T18:00Z,56.32,-37.47,989.0,-2.1,-256.2,30.8,-1.03,4,-67.2,-262.2,31.2,21.7,85.7,87.8,28.0,28.8
36,2026-09-26T00:00Z,56.83,-34.03,987.0,7.8,-260.1,27.1,-0.84,3,-54.0,-250.1,25.5,19.2,90.2,85.6,19.3,22.9
42,2026-09-26T06:00Z,56.31,-30.57,986.1,-56.1,-256.4,15.6,-2.00,4,-92.3,-253.0,18.0,20.8,71.2,77.8,21.1,15.4
48,2026-09-26T12:00Z,58.16,-26.70,986.4,-72.7,-237.5,22.8,-2.22,4,-89.9,-222.5,24.4,22.5,56.8,63.2,13.1,18.7
54,2026-09-26T18:00Z,58.77,-23.58,986.3,-117.3,-224.1,17.9,-2.63,4,-106.9,-214.8,15.1,16.6,71.6,60.3,15.2,10.0
60,2026-09-27T00:00Z,59.21,-20.65,986.5,-142.7,-217.5,22.1,-2.76,4,-139.4,-206.7,21.0,15.6,56.9,51.0,18.2,14.8
66,2026-09-27T06:00Z,60.47,-18.42,985.4,-96.1,-218.2,25.4,-2.46,4,-116.1,-210.2,26.3,18.0,35.1,40.5,18.1,19.0
72,2026-09-27T12:00Z,62.16,-16.42,985.7,-56.1,-203.9,27.4,-1.98,4,-66.5,-199.4,26.5,15.9,36.2,28.6,17.7,19.2
78,2026-09-27T18:00Z,63.04,-14.46,985.7,-63.2,-171.6,25.0,-2.06,4,-58.0,-144.6,23.0,14.7,43.5,32.4,19.2,16.4
84,2026-09-28T00:00Z,64.28,-11.93,987.6,-71.7,-160.0,22.2,-2.15,4,-72.6,-137.8,19.5,5.5,44.1,29.1,21.0,14.2
90,2026-09-28T06:00Z,63.83,-12.73,991.7,-58.3,-168.9,16.9,,,-57.0,-165.6,-8.4,8.7,256.1,42.8,20.4,-4.1
96,2026-09-28T12:00Z,63.87,-15.78,995.9,-53.7,-177.0,22.7,,,-45.5,-158.3,-11.6,13.5,271.5,44.2,15.6,-5.6
