fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T18:00Z,16.44,-125.18,980.0,115.4,167.1,7.5,2.57,0,124.9,153.0,6.2,8.1,45.1,62.2,8.6,3.2
6,2026-09-25T00:00Z,17.02,-124.58,976.7,120.5,157.0,11.4,2.59,2,124.0,144.8,10.1,5.9,39.3,62.4,8.6,6.7
12,2026-09-25T06:00Z,17.36,-124.39,981.0,101.6,170.9,7.3,2.47,0,108.5,159.6,6.0,3.3,35.3,52.5,5.5,3.0
18,2026-09-25T12:00Z,17.56,-124.18,979.2,110.6,163.4,10.1,2.53,2,107.7,146.8,10.0,2.4,33.7,52.6,5.7,7.4
24,2026-09-25T18:00Z,17.77,-124.11,982.8,86.0,173.4,12.5,2.33,2,72.0,149.8,11.7,2.7,17.8,30.4,5.0,9.2
30,2026-09-26T00:00Z,18.08,-124.00,977.8,128.8,145.9,11.4,2.61,2,126.8,124.5,8.7,2.8,7.6,35.6,5.6,6.3
36,2026-09-26T06:00Z,18.32,-124.03,982.2,107.4,147.1,9.3,2.48,0,93.2,130.7,8.2,4.0,1.8,20.6,5.6,5.3
42,2026-09-26T12:00Z,18.89,-123.97,980.8,94.6,111.2,12.2,2.28,2,86.9,113.7,11.3,5.1,0.9,26.6,7.9,9.1
48,2026-09-26T18:00Z,19.34,-124.02,985.2,110.2,122.4,11.9,2.44,2,94.5,118.1,10.9,4.5,7.4,23.5,8.8,8.4
54,2026-09-27T00:00Z,19.79,-123.85,987.2,110.6,-13.4,12.7,1.47,3,129.9,59.5,11.7,3.8,6.9,38.4,9.3,8.3
60,2026-09-27T06:00Z,20.10,-123.92,992.6,83.8,-80.2,10.7,0.70,3,111.6,-6.6,7.7,3.0,342.3,32.0,8.5,5.2
66,2026-09-27T12:00Z,20.35,-124.04,993.5,106.8,-107.8,11.3,0.79,3,116.9,-37.8,7.7,2.2,325.4,42.7,8.6,5.0
72,2026-09-27T18:00Z,20.45,-124.18,997.5,122.2,-110.6,13.2,0.88,3,116.5,-60.0,4.2,1.1,318.9,41.4,7.7,2.0
78,2026-09-28T00:00Z,20.52,-124.20,997.1,155.6,-98.6,8.0,1.07,1,131.7,-53.6,-10.8,0.6,196.7,68.9,7.6,-8.2
84,2026-09-28T06:00Z,20.35,-124.22,1000.8,149.3,-72.8,4.6,1.19,1,114.5,-50.3,-9.3,1.6,195.7,81.2,5.6,-5.4
90,2026-09-28T12:00Z,20.21,-124.29,1000.1,161.6,-70.6,2.0,1.24,1,127.6,-47.6,-9.4,2.9,195.7,93.7,6.4,-5.6
96,2026-09-28T18:00Z,19.78,-124.39,1003.4,143.6,-46.8,3.4,1.35,1,113.7,-34.8,-6.1,3.7,190.3,94.4,4.4,-3.5
102,2026-09-29T00:00Z,19.48,-124.43,1001.6,146.6,-48.5,5.1,1.35,1,135.9,-39.9,-5.2,3.4,190.3,108.1,4.9,-3.1
108,2026-09-29T06:00Z,19.12,-124.51,1004.9,125.6,-13.8,,1.56,,97.4,-15.9,-4.0,3.2,188.2,125.1,2.5,-1.9
114,2026-09-29T12:00Z,18.85,-124.53,1003.0,137.2,-26.0,,1.50,,106.2,-19.8,-4.5,3.5,187.5,106.0,2.4,-3.3
120,2026-09-29T18:00Z,18.42,-124.61,1005.9,86.7,-18.2,,,,68.5,-19.6,-3.5,3.7,205.3,9.4,1.3,-2.2
126,2026-09-30T00:00Z,18.18,-124.86,1003.3,81.4,0.1,,,,40.2,-5.6,-2.5,2.8,237.4,14.4,2.0,-1.1
132,2026-09-30T06:00Z,18.12,-125.11,1006.6,34.1,-7.3,-0.9,,,3.8,3.7,-6.0,1.7,283.7,329.8,3.7,-4.1
138,2026-09-30T12:00Z,18.26,-125.21,1005.0,62.2,5.3,-0.4,,,28.8,10.3,-2.4,3.0,326.2,343.9,4.4,-0.8
144,2026-09-30T18:00Z,18.62,-125.46,1007.8,75.5,11.8,-3.7,,,53.0,5.8,-4.2,4.4,326.7,332.7,6.4,-2.3
