fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
6,2026-09-24T18:00Z,16.42,-125.21,979.1,115.7,155.8,8.0,2.55,0,126.0,146.2,6.4,7.8,44.1,62.3,8.8,3.5
12,2026-09-25T00:00Z,16.98,-124.64,976.5,114.1,153.5,11.4,2.54,2,113.2,144.1,10.7,6.3,50.4,64.7,9.1,7.5
18,2026-09-25T06:00Z,17.22,-124.19,978.1,96.7,164.6,7.3,2.42,0,107.9,146.9,6.1,4.5,42.2,58.9,6.3,3.0
24,2026-09-25T12:00Z,17.64,-124.01,975.1,120.9,179.1,10.2,2.62,2,131.0,165.3,8.8,3.0,20.7,53.4,5.9,6.4
30,2026-09-25T18:00Z,17.78,-123.97,980.1,101.1,169.4,12.8,2.47,2,93.4,165.1,12.6,2.3,29.5,33.3,5.3,10.4
36,2026-09-26T00:00Z,18.05,-123.77,979.0,93.4,157.4,12.5,2.38,2,93.1,142.8,11.5,2.7,29.1,41.2,6.0,8.4
42,2026-09-26T06:00Z,18.26,-123.69,982.6,99.6,134.8,9.2,2.39,0,93.9,114.0,8.7,3.6,17.9,26.6,5.9,6.2
48,2026-09-26T12:00Z,18.74,-123.54,979.9,112.0,142.8,12.8,2.51,2,103.8,134.3,12.6,6.0,13.0,34.9,8.0,9.8
54,2026-09-26T18:00Z,19.42,-123.41,983.6,101.2,157.7,14.9,2.45,2,79.6,148.1,14.3,6.3,16.5,27.1,8.9,11.6
60,2026-09-27T00:00Z,19.94,-123.16,985.5,151.3,19.8,15.7,2.01,2,141.4,83.3,15.9,4.7,24.6,38.1,9.7,12.7
66,2026-09-27T06:00Z,20.28,-122.99,992.2,131.5,-68.7,9.1,1.14,1,150.7,-8.5,9.9,3.0,10.2,38.1,8.9,8.5
72,2026-09-27T12:00Z,20.52,-123.05,993.1,117.6,-88.8,9.6,0.94,1,136.8,-37.9,13.2,0.5,25.9,54.5,8.3,10.4
78,2026-09-27T18:00Z,20.37,-122.95,997.7,118.1,-93.2,6.7,0.92,1,125.8,-54.6,-9.0,1.4,151.9,60.5,6.9,-4.3
84,2026-09-28T00:00Z,20.27,-122.91,996.9,149.4,-82.9,2.1,1.13,1,137.3,-49.8,-8.0,1.7,155.4,82.3,7.6,-4.4
90,2026-09-28T06:00Z,20.06,-122.80,1000.7,104.3,-42.4,0.1,1.16,1,93.0,-28.0,-4.7,1.8,135.6,89.9,5.9,-0.8
96,2026-09-28T12:00Z,20.01,-122.63,1000.3,124.9,-42.7,1.0,1.29,1,104.0,-36.2,-3.6,2.1,126.7,91.6,6.8,0.6
102,2026-09-28T18:00Z,19.81,-122.44,1003.2,111.6,-35.7,5.8,1.27,1,88.5,-28.8,-2.8,3.6,142.4,84.4,5.6,0.3
108,2026-09-29T00:00Z,19.44,-122.17,1001.5,109.8,-45.0,1.7,1.18,1,93.7,-29.4,-4.9,3.9,144.9,97.6,6.3,-1.2
114,2026-09-29T06:00Z,19.16,-121.96,1004.6,98.2,-33.7,,1.18,,77.5,-20.1,-4.6,3.0,142.4,110.5,3.7,-2.7
120,2026-09-29T12:00Z,18.97,-121.79,1002.7,104.3,-39.8,,1.18,,79.2,-23.7,-2.6,2.7,165.4,110.7,2.8,-1.8
126,2026-09-29T18:00Z,18.63,-121.81,1005.6,69.9,-27.2,,,,72.9,-29.0,-4.0,2.5,189.9,354.7,0.6,-3.7
132,2026-09-30T00:00Z,18.47,-121.88,1003.1,79.4,-8.7,,,,62.4,-22.5,-2.7,2.1,172.9,335.4,0.4,-2.8
138,2026-09-30T06:00Z,18.21,-121.75,1006.0,41.4,-14.8,,,,39.8,-9.3,1.0,1.9,169.1,300.8,2.8,1.2
144,2026-09-30T12:00Z,18.09,-121.80,1004.5,56.6,-21.0,,,,41.3,-29.1,1.0,1.0,145.9,327.2,2.7,-0.7
150,2026-09-30T18:00Z,18.04,-121.63,1007.4,38.1,-6.4,-2.0,,,31.2,-15.1,2.3,2.2,100.9,316.6,4.1,-1.8
156,2026-10-01T00:00Z,18.01,-121.34,1004.5,37.7,-10.2,,,,26.5,-25.5,3.1,2.8,110.1,317.0,2.0,0.3
162,2026-10-01T06:00Z,17.84,-121.08,1007.7,39.9,-26.2,,,,39.2,-33.5,0.5,2.8,123.7,279.4,2.9,-1.0
168,2026-10-01T12:00Z,17.70,-120.86,1004.8,31.7,-2.5,,,,20.7,-19.7,1.4,1.7,128.8,258.0,2.5,-0.9
174,2026-10-01T18:00Z,17.63,-120.80,1007.6,-4.5,18.2,,,,-19.2,-9.0,-1.0,1.2,153.1,266.2,3.6,-3.6
180,2026-10-02T00:00Z,17.49,-120.75,1005.0,41.2,1.9,,,,17.8,-24.8,0.5,2.4,167.7,241.2,2.5,-0.1
186,2026-10-02T06:00Z,17.17,-120.69,1007.9,17.7,-6.4,,,,11.4,-17.4,-1.0,3.9,164.1,243.3,3.5,-1.6
192,2026-10-02T12:00Z,16.75,-120.53,1005.6,36.9,1.8,,,,24.3,-21.7,-0.3,4.8,156.3,228.1,2.5,-1.2
198,2026-10-02T18:00Z,16.29,-120.29,1008.3,16.1,-2.3,,,,15.7,-18.3,-2.9,5.2,154.1,246.5,2.5,-3.6
