fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-25T12:00Z,82.17,-137.15,982.3,-125.1,55.6,2.9,-1.19,6,-166.0,-59.8,2.8,8.1,42.3,40.0,5.3,7.7
6,2026-09-25T18:00Z,82.76,-133.01,984.2,-122.7,30.8,-1.2,-1.38,6,-177.9,-91.4,-1.8,5.9,35.3,22.5,5.4,1.7
12,2026-09-26T00:00Z,83.12,-131.84,987.4,-126.4,24.9,-1.4,-1.46,6,-173.4,-92.0,-1.5,5.5,36.4,37.6,5.7,0.3
18,2026-09-26T06:00Z,83.65,-127.48,990.2,-143.9,30.3,-1.0,-1.49,6,-191.9,-84.6,-0.6,6.9,37.3,31.3,6.2,1.5
24,2026-09-26T12:00Z,84.22,-124.25,993.2,-146.7,32.8,2.2,-1.48,6,-209.0,-84.8,0.8,7.3,22.1,37.7,6.1,3.7
30,2026-09-26T18:00Z,85.01,-121.91,995.3,-140.6,7.9,3.8,-1.69,6,-186.0,-109.5,4.1,8.2,15.7,52.3,6.7,7.5
