fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-25T12:00Z,15.75,-155.65,984.7,74.0,132.7,5.0,2.13,0,92.1,130.9,5.0,4.5,35.6,35.5,7.3,6.1
6,2026-09-25T18:00Z,16.12,-155.38,985.6,74.8,148.1,5.4,2.17,0,77.6,147.5,5.1,4.2,26.6,34.8,6.5,6.5
12,2026-09-26T00:00Z,16.50,-155.26,983.4,119.5,134.9,6.3,2.54,0,105.6,135.7,6.4,2.8,43.4,42.5,6.5,7.7
18,2026-09-26T06:00Z,16.53,-154.97,990.3,129.6,120.3,,2.56,,104.3,116.6,4.9,2.3,61.3,55.0,3.2,5.2
24,2026-09-26T12:00Z,16.71,-154.85,989.4,114.3,126.2,,2.48,,91.7,110.1,-8.5,1.7,291.1,57.9,1.9,-4.0
30,2026-09-26T18:00Z,16.65,-155.30,989.2,164.4,105.5,,2.64,,133.9,93.0,-4.5,4.5,260.1,202.0,1.3,-1.5
36,2026-09-27T00:00Z,16.56,-155.77,985.4,141.0,113.9,,2.59,,115.3,104.8,-5.0,6.3,248.0,223.2,2.4,-3.5
42,2026-09-27T06:00Z,16.17,-156.52,978.4,135.3,149.1,-1.6,2.65,0,131.1,128.3,-2.9,8.0,248.3,229.9,5.1,-0.5
48,2026-09-27T12:00Z,15.97,-157.32,967.4,120.1,221.7,-2.9,2.64,0,117.5,187.6,-3.5,8.2,261.3,248.3,4.9,-0.5
54,2026-09-27T18:00Z,15.93,-158.21,968.2,101.4,248.5,-3.6,2.52,0,96.0,201.8,-3.9,10.0,273.2,263.1,6.5,-0.9
60,2026-09-28T00:00Z,16.08,-159.39,966.8,102.1,258.2,-5.2,2.53,0,95.6,210.4,-5.3,11.2,279.7,285.3,6.3,-3.2
66,2026-09-28T06:00Z,16.30,-160.50,965.4,97.3,292.9,-5.8,2.49,0,83.7,242.3,-5.8,10.9,285.1,289.8,7.4,-3.2
72,2026-09-28T12:00Z,16.65,-161.59,966.5,91.9,288.0,-6.9,2.44,0,89.3,229.9,-7.8,10.3,295.3,314.7,7.8,-5.2
78,2026-09-28T18:00Z,17.18,-162.45,967.0,121.9,325.1,-7.0,2.68,0,111.8,275.0,-8.5,10.1,309.1,326.0,8.1,-7.4
84,2026-09-29T00:00Z,17.92,-163.22,967.5,122.1,309.3,-5.9,2.68,0,118.6,267.8,-8.8,9.5,322.2,346.4,8.5,-6.1
90,2026-09-29T06:00Z,18.69,-163.67,971.1,172.9,259.3,-2.3,2.87,0,182.4,228.7,-7.1,9.0,330.9,353.2,7.5,-5.3
96,2026-09-29T12:00Z,19.48,-164.15,973.4,207.6,239.5,-0.4,2.92,0,197.1,220.4,-7.5,8.5,337.4,3.8,8.1,-5.4
102,2026-09-29T18:00Z,20.26,-164.37,974.5,237.2,208.5,3.8,2.93,0,241.0,197.5,-0.4,8.8,356.0,9.4,7.6,0.9
108,2026-09-30T00:00Z,21.23,-164.28,971.8,219.7,203.2,10.2,2.92,2,239.0,202.6,5.8,9.8,9.7,22.3,9.3,5.9
114,2026-09-30T06:00Z,22.18,-164.02,972.8,198.9,215.4,16.1,2.90,2,206.7,226.2,8.5,9.6,6.1,30.6,8.0,7.1
120,2026-09-30T12:00Z,23.12,-164.06,974.4,164.4,223.6,16.5,2.83,2,173.3,231.9,7.8,8.1,350.3,26.4,6.8,6.0
126,2026-09-30T18:00Z,23.78,-164.31,977.3,158.8,198.8,11.4,2.80,2,164.8,203.9,3.7,6.0,331.4,13.9,4.0,2.0
132,2026-10-01T00:00Z,24.17,-164.68,978.8,168.8,173.6,10.7,2.81,,152.2,170.4,3.5,4.7,315.3,14.0,3.5,2.4
138,2026-10-01T06:00Z,24.44,-165.03,980.4,141.0,151.0,,2.68,,138.1,148.0,-0.3,4.6,294.4,325.7,2.1,-1.0
144,2026-10-01T12:00Z,24.55,-165.61,980.9,143.0,213.8,,2.76,,133.1,176.5,1.6,4.6,295.9,330.4,3.0,0.4
150,2026-10-01T18:00Z,24.84,-165.94,982.0,115.7,193.0,6.1,2.60,,127.8,184.6,5.1,5.7,309.6,314.2,3.6,2.4
156,2026-10-02T00:00Z,25.28,-166.58,979.8,109.1,209.4,8.2,2.56,0,117.6,186.4,5.1,6.1,300.3,328.8,4.1,1.4
162,2026-10-02T06:00Z,25.45,-167.09,980.7,96.9,214.6,,2.47,,111.7,196.4,4.2,4.9,284.1,304.2,2.6,0.8
168,2026-10-02T12:00Z,25.52,-167.63,982.9,101.3,231.0,,2.51,,108.7,191.1,3.7,4.4,276.1,284.5,1.5,1.0
174,2026-10-02T18:00Z,25.54,-168.07,985.0,104.2,194.4,,2.52,,117.2,172.3,-0.7,3.7,258.3,210.0,2.7,-2.1
180,2026-10-03T00:00Z,25.37,-168.42,985.7,132.0,156.2,,2.65,,125.2,132.1,1.9,3.5,226.9,199.6,2.7,3.9
186,2026-10-03T06:00Z,25.07,-168.63,987.6,130.6,147.2,4.6,2.63,0,146.1,118.8,1.0,3.9,221.9,194.5,4.7,2.8
192,2026-10-03T12:00Z,24.79,-169.00,990.0,148.8,127.1,3.3,2.66,0,141.3,102.0,2.0,3.4,216.3,205.5,3.9,4.5
198,2026-10-03T18:00Z,24.53,-169.07,991.6,122.4,104.7,2.3,2.46,0,128.2,87.3,4.8,2.6,194.1,209.8,4.7,9.9
