fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-25T12:00Z,66.95,-15.61,972.0,237.1,1.7,10.9,1.98,2,176.7,19.3,7.0,4.0,332.3,347.6,8.2,0.8
6,2026-09-25T18:00Z,67.31,-16.09,974.6,264.4,-16.9,,1.81,,209.8,3.9,-0.8,2.7,296.7,325.0,3.4,-3.3
12,2026-09-26T00:00Z,67.20,-16.87,977.6,254.9,8.9,,2.06,,210.2,25.1,-16.3,3.4,222.3,261.9,1.6,-10.0
18,2026-09-26T06:00Z,66.80,-17.27,980.3,244.4,-47.4,,1.53,,189.9,-38.3,-19.3,2.7,204.4,160.0,1.3,-13.1
24,2026-09-26T12:00Z,66.71,-17.43,983.4,187.3,-75.3,,1.27,,104.9,-74.7,-15.5,1.2,242.2,9.7,0.4,-16.3
30,2026-09-26T18:00Z,66.70,-17.79,985.6,175.2,-130.8,,1.02,,88.2,-105.5,-15.7,4.3,251.9,294.7,1.5,-17.3
36,2026-09-27T00:00Z,66.44,-19.50,987.8,184.4,-78.0,-16.6,,,169.5,-66.5,2.0,10.4,111.2,253.3,4.9,5.2
42,2026-09-27T06:00Z,65.95,-13.00,987.1,-29.4,-169.9,28.4,,,-92.9,-172.6,17.4,12.2,84.0,11.8,15.1,14.0
48,2026-09-27T12:00Z,66.70,-13.42,987.7,118.1,-179.3,28.7,0.71,3,6.7,-182.8,23.9,6.5,345.1,0.0,13.0,21.7
54,2026-09-27T18:00Z,67.19,-13.83,987.6,115.8,-146.7,35.1,0.74,3,37.9,-135.0,27.4,7.3,64.4,8.6,8.1,21.8
60,2026-09-28T00:00Z,67.32,-10.08,988.5,-16.0,-180.0,25.7,-1.26,4,-26.2,-170.0,22.0,15.7,48.6,24.3,16.4,15.9
66,2026-09-28T06:00Z,69.27,-7.48,988.7,-33.1,-150.0,29.5,-1.54,4,-21.8,-115.6,7.1,6.4,300.6,30.3,16.2,7.5
72,2026-09-28T12:00Z,67.98,-12.99,993.7,-27.9,-108.8,30.2,,,5.4,-94.5,-36.2,10.2,221.7,61.4,10.9,-30.0
78,2026-09-28T18:00Z,67.74,-11.19,997.8,-30.3,-167.7,33.6,-1.52,4,-8.4,-171.1,12.0,7.2,108.9,60.8,17.1,9.7
