fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-25T12:00Z,17.64,-123.95,969.4,131.8,211.6,11.5,2.70,2,141.8,194.6,11.5,3.8,37.6,44.9,6.5,8.2
6,2026-09-25T18:00Z,17.94,-123.70,967.6,119.0,251.8,10.8,2.65,2,105.7,223.6,10.6,4.0,24.3,26.8,6.0,7.9
12,2026-09-26T00:00Z,18.37,-123.60,967.6,100.3,251.3,11.0,2.51,2,96.4,213.4,7.8,3.5,358.6,32.5,6.0,4.8
18,2026-09-26T06:00Z,18.63,-123.72,971.4,97.0,254.4,7.9,2.49,0,83.3,219.3,7.6,3.6,1.1,15.5,5.8,4.3
24,2026-09-26T12:00Z,19.09,-123.59,973.8,111.2,219.5,10.6,2.58,2,82.5,206.4,11.0,5.9,14.6,25.8,7.8,9.3
30,2026-09-26T18:00Z,19.77,-123.41,980.1,127.6,174.4,11.3,2.65,2,120.3,154.9,11.2,7.0,16.7,18.5,9.6,8.7
36,2026-09-27T00:00Z,20.42,-123.16,982.4,135.9,96.3,11.1,2.50,2,135.6,119.3,11.7,5.2,18.7,33.6,10.6,10.5
42,2026-09-27T06:00Z,20.76,-123.05,990.7,116.2,-102.6,11.6,0.87,3,148.9,-15.9,11.6,2.8,18.4,35.4,9.6,12.8
48,2026-09-27T12:00Z,20.96,-122.97,993.0,118.6,-121.8,11.8,0.82,3,151.9,-67.8,12.7,1.7,43.5,51.8,10.1,12.9
54,2026-09-27T18:00Z,21.01,-122.80,998.2,131.5,-125.4,14.9,0.88,3,133.7,-92.7,10.3,1.4,81.6,54.3,8.9,10.4
60,2026-09-28T00:00Z,21.00,-122.68,998.2,157.4,-97.1,10.0,1.09,3,135.7,-83.0,-4.7,2.5,136.7,75.4,9.7,-2.3
66,2026-09-28T06:00Z,20.65,-122.44,1001.9,111.9,-58.3,4.6,1.09,1,100.0,-58.2,-5.1,3.9,133.0,86.9,8.7,-1.1
72,2026-09-28T12:00Z,20.47,-122.07,1001.4,123.9,-46.2,2.9,1.26,1,101.0,-45.2,-3.7,4.1,132.7,97.0,9.6,3.7
78,2026-09-28T18:00Z,20.09,-121.79,1004.4,113.6,-18.7,2.8,1.44,1,59.1,-17.0,-7.4,5.0,149.9,97.6,8.0,-2.7
84,2026-09-29T00:00Z,19.59,-121.53,1003.0,128.0,-38.9,2.5,1.34,1,88.4,-31.6,-3.7,6.0,152.3,107.6,7.8,0.2
90,2026-09-29T06:00Z,19.03,-121.20,1006.2,91.9,-35.4,-2.0,,,56.4,-20.2,-6.0,5.1,148.7,115.9,4.5,-1.4
96,2026-09-29T12:00Z,18.72,-120.96,1004.5,86.0,-25.4,,,,58.0,-22.1,-5.2,4.3,155.5,120.3,3.6,-1.0
102,2026-09-29T18:00Z,18.25,-120.82,1007.2,53.7,-18.2,,,,37.9,-11.9,-4.0,4.9,177.5,172.5,0.9,-1.1
108,2026-09-30T00:00Z,17.74,-120.92,1004.6,73.9,2.0,,,,46.8,-16.8,-1.5,4.9,193.9,179.9,2.1,0.9
114,2026-09-30T06:00Z,17.30,-121.07,1007.6,35.8,-2.9,,,,30.4,-19.5,-1.5,4.0,203.6,231.5,3.3,-0.4
120,2026-09-30T12:00Z,17.01,-121.25,1005.8,34.1,-3.5,,,,17.1,-19.5,2.7,3.8,173.6,228.7,3.0,3.1
126,2026-09-30T18:00Z,16.54,-120.98,1008.7,4.8,1.8,-2.3,,,6.6,-12.3,4.0,4.8,153.0,241.9,3.9,1.5
132,2026-10-01T00:00Z,16.16,-120.80,1005.2,26.9,-1.4,1.4,,,11.1,-22.3,2.1,5.6,152.8,203.8,4.0,-0.3
138,2026-10-01T06:00Z,15.55,-120.45,1007.8,2.2,-12.8,-0.4,,,16.3,-15.1,1.8,6.9,150.9,201.3,5.6,-3.6
