fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T18:00Z,14.83,-156.15,994.6,43.0,77.1,7.1,1.46,,67.2,76.0,7.7,1.7,37.5,31.8,3.8,4.7
6,2026-09-25T00:00Z,14.96,-156.05,989.5,68.1,102.2,6.9,1.95,0,93.8,103.7,6.3,3.7,26.0,37.5,6.6,3.9
12,2026-09-25T06:00Z,15.49,-155.82,988.1,70.5,123.4,7.3,2.06,0,76.0,113.2,5.8,4.9,17.0,32.9,6.0,4.0
18,2026-09-25T12:00Z,15.90,-155.75,980.8,111.5,168.5,7.5,2.54,0,106.3,152.8,6.1,4.2,18.2,37.9,7.3,5.4
24,2026-09-25T18:00Z,16.29,-155.55,979.8,100.1,147.4,6.8,2.42,0,94.0,139.0,6.5,4.3,28.0,35.2,6.5,6.5
30,2026-09-26T00:00Z,16.66,-155.33,976.4,120.2,155.1,7.6,2.58,0,107.2,144.5,6.2,3.2,32.4,43.9,6.2,7.0
36,2026-09-26T06:00Z,16.82,-155.19,979.5,180.0,170.8,,2.83,,126.0,144.8,-3.9,0.9,344.2,54.6,2.3,-1.3
42,2026-09-26T12:00Z,16.82,-155.38,982.0,126.8,132.6,,2.57,,104.0,114.8,-5.2,2.5,237.7,87.8,1.0,-2.2
48,2026-09-26T18:00Z,16.55,-155.63,983.0,143.3,124.1,,2.63,,112.6,107.4,-3.7,4.3,241.7,223.9,1.6,-0.9
54,2026-09-27T00:00Z,16.41,-156.17,978.3,136.4,149.0,,2.66,,112.8,131.8,-4.1,6.4,254.2,229.4,2.0,-2.4
60,2026-09-27T06:00Z,16.21,-156.91,972.3,126.9,155.0,0.4,2.62,0,130.7,137.6,-1.5,8.2,255.2,231.5,5.1,-0.0
66,2026-09-27T12:00Z,16.00,-157.81,968.2,111.0,206.9,-1.7,2.58,0,109.7,175.5,-2.4,9.5,256.8,243.7,5.0,0.2
72,2026-09-27T18:00Z,15.77,-158.82,967.2,100.6,246.7,-3.6,2.51,0,90.1,202.0,-4.0,10.1,261.4,251.8,5.7,-1.1
78,2026-09-28T00:00Z,15.70,-159.89,965.7,86.0,234.9,-7.0,2.37,0,90.6,197.3,-6.9,9.1,267.7,274.2,4.9,-4.5
84,2026-09-28T06:00Z,15.70,-160.71,966.3,71.0,219.2,-6.7,2.18,0,75.0,186.0,-6.7,8.2,280.0,283.1,5.3,-4.2
90,2026-09-28T12:00Z,15.98,-161.56,966.2,123.1,232.3,-6.5,2.67,0,115.6,201.3,-6.9,8.4,294.6,313.4,5.5,-4.0
96,2026-09-28T18:00Z,16.40,-162.30,969.2,107.8,229.3,-6.6,2.56,0,103.2,194.5,-7.9,8.5,306.4,325.7,6.0,-5.7
102,2026-09-29T00:00Z,16.98,-162.98,966.7,116.7,270.6,-4.9,2.64,0,117.4,242.0,-8.4,7.7,319.5,348.5,6.6,-5.8
108,2026-09-29T06:00Z,17.56,-163.34,968.0,134.2,256.2,-2.4,2.73,0,135.8,238.1,-6.4,6.8,338.8,0.1,6.5,-4.8
114,2026-09-29T12:00Z,18.25,-163.49,969.2,144.7,236.8,1.7,2.77,0,148.0,229.7,-2.8,6.8,353.9,13.6,7.7,-2.1
120,2026-09-29T18:00Z,18.91,-163.49,971.1,145.1,268.8,3.1,2.78,0,140.9,259.8,-0.3,7.0,7.8,21.2,8.1,-0.5
126,2026-09-30T00:00Z,19.63,-163.30,971.4,164.2,260.8,10.6,2.84,2,151.8,242.1,8.7,8.5,25.2,33.1,9.9,7.5
132,2026-09-30T06:00Z,20.44,-162.72,970.1,172.2,233.3,12.7,2.86,2,173.4,235.2,10.5,8.8,29.1,38.1,9.3,8.7
138,2026-09-30T12:00Z,21.16,-162.39,971.7,175.5,201.9,13.1,2.85,2,179.7,210.0,10.0,8.0,22.9,39.6,9.6,8.5
144,2026-09-30T18:00Z,21.91,-162.06,973.5,133.2,199.7,12.7,2.70,2,147.6,206.5,9.7,7.0,17.7,38.5,8.2,7.8
150,2026-10-01T00:00Z,22.50,-161.93,973.3,158.2,189.5,12.9,2.79,2,150.0,174.3,10.6,5.4,22.5,47.6,8.7,8.2
156,2026-10-01T06:00Z,22.91,-161.61,977.5,130.1,181.2,12.1,2.67,2,123.1,162.2,9.6,4.7,17.3,52.8,6.4,6.0
162,2026-10-01T12:00Z,23.40,-161.62,980.3,137.9,214.4,8.9,2.73,0,123.5,193.8,6.1,5.3,5.1,40.7,6.7,1.7
168,2026-10-01T18:00Z,23.96,-161.51,981.7,135.7,147.8,8.0,2.65,0,122.8,143.2,6.2,6.2,5.4,27.7,6.3,0.4
174,2026-10-02T00:00Z,24.63,-161.50,980.9,148.8,161.4,6.9,2.73,0,136.4,149.4,5.4,8.0,10.2,26.8,8.9,-0.4
180,2026-10-02T06:00Z,25.52,-161.20,980.3,147.1,190.1,4.7,2.76,0,129.4,172.6,3.2,10.3,8.0,19.1,9.2,-1.0
186,2026-10-02T12:00Z,26.67,-161.18,978.9,170.7,156.9,5.5,2.79,0,141.4,159.6,2.0,13.3,4.9,21.2,13.1,-0.3
192,2026-10-02T18:00Z,28.17,-160.94,978.6,167.7,84.0,8.0,2.55,0,136.9,122.5,4.5,17.1,9.1,21.7,15.6,4.5
198,2026-10-03T00:00Z,30.05,-160.57,975.6,157.5,118.1,14.2,2.66,2,137.5,141.7,10.0,19.1,9.9,23.5,19.1,10.3
