fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T18:00Z,55.23,175.04,964.3,12.1,-25.5,-7.4,-0.01,1,-15.9,-54.8,-5.5,35.9,94.4,128.9,19.1,-4.4
6,2026-09-25T00:00Z,54.95,-178.72,969.1,2.3,-26.2,-4.3,-0.21,1,-1.9,-49.7,-7.3,36.8,83.8,99.1,22.4,-3.7
12,2026-09-25T06:00Z,56.02,-172.02,969.8,114.6,-25.7,-3.1,,,122.4,-47.0,-7.8,26.5,63.0,79.4,14.7,-11.9
18,2026-09-25T12:00Z,57.36,-170.24,973.7,110.2,-80.4,-2.4,,,108.1,-100.5,-6.7,9.8,11.9,29.0,6.3,-12.9
24,2026-09-25T18:00Z,57.94,-171.27,972.6,49.6,37.1,15.7,1.25,,0.6,-20.8,-14.3,10.1,307.3,51.8,3.9,-20.0
30,2026-09-26T00:00Z,58.59,-173.28,971.5,-21.4,88.2,,,,-74.1,27.9,-14.2,8.4,207.8,235.4,1.0,-14.2
36,2026-09-26T06:00Z,56.46,-172.71,967.8,-46.5,-77.1,-7.1,-1.51,5,-62.1,-114.9,-10.0,15.3,128.4,92.9,21.1,-9.5
42,2026-09-26T12:00Z,56.69,-168.81,970.8,-59.7,-51.3,-7.6,-1.54,5,-80.7,-90.7,-7.5,21.2,76.4,80.1,24.1,-6.8
48,2026-09-26T18:00Z,57.45,-165.16,973.6,-37.7,-69.8,-5.7,-1.32,5,-80.5,-112.2,-5.9,15.9,59.1,69.4,18.5,-6.1
54,2026-09-27T00:00Z,58.32,-163.76,976.5,-14.1,-60.6,-1.8,-0.82,5,-41.3,-74.3,-2.0,8.5,48.3,64.8,12.1,-4.0
60,2026-09-27T06:00Z,58.58,-162.78,978.6,8.1,-40.0,1.3,-0.22,1,-9.6,-60.8,1.3,5.8,80.6,84.2,8.9,1.4
66,2026-09-27T12:00Z,58.51,-161.56,981.1,0.7,-51.0,0.4,-0.46,1,-25.4,-92.6,0.2,6.2,93.7,89.6,9.6,0.7
72,2026-09-27T18:00Z,58.50,-160.39,983.1,39.6,-67.5,0.1,0.16,1,19.2,-101.6,0.4,7.1,105.3,111.4,8.1,-0.7
78,2026-09-28T00:00Z,58.14,-158.95,985.3,15.0,-47.6,-0.8,-0.14,1,-8.0,-58.2,-1.7,6.5,122.7,113.7,9.5,-0.4
84,2026-09-28T06:00Z,57.80,-158.33,987.8,28.7,-22.6,-4.0,0.34,1,-4.9,-55.8,-5.4,8.3,150.0,134.4,11.3,-1.0
90,2026-09-28T12:00Z,56.71,-157.42,991.3,17.9,-66.5,-2.8,-0.23,1,-14.6,-100.2,-4.9,12.0,155.6,133.7,17.0,-0.3
