fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-25T12:00Z,17.12,-107.97,950.6,124.3,439.4,7.4,2.69,0,155.0,390.6,7.0,9.0,286.2,275.4,6.1,5.4
6,2026-09-25T18:00Z,17.38,-108.88,950.7,81.0,461.1,8.1,2.34,0,105.2,394.2,7.3,9.1,266.0,280.8,8.0,4.7
12,2026-09-26T00:00Z,17.00,-109.86,959.9,96.8,284.8,4.3,2.49,0,98.1,240.8,3.9,9.3,262.2,275.4,5.6,0.9
18,2026-09-26T06:00Z,17.12,-110.79,956.4,102.1,370.3,7.8,2.54,0,111.4,331.4,7.8,8.9,290.5,286.9,6.9,4.9
24,2026-09-26T12:00Z,17.62,-111.62,952.6,82.2,345.5,5.1,2.35,0,101.7,297.9,5.2,9.4,302.2,305.2,6.5,3.1
30,2026-09-26T18:00Z,18.12,-112.46,954.4,70.7,387.1,2.8,2.22,0,91.2,326.0,3.9,9.0,308.6,324.0,8.8,1.7
36,2026-09-27T00:00Z,18.74,-113.09,952.5,56.8,301.0,4.0,2.02,0,78.1,265.5,5.6,8.8,324.4,342.6,8.7,3.4
42,2026-09-27T06:00Z,19.55,-113.54,956.6,71.8,292.1,4.5,2.23,0,100.4,271.3,5.2,9.5,337.9,349.8,10.0,3.3
48,2026-09-27T12:00Z,20.50,-113.85,958.7,68.6,308.5,4.3,2.19,0,97.9,271.5,4.0,10.2,345.1,1.8,9.4,1.7
54,2026-09-27T18:00Z,21.52,-114.10,963.1,62.8,279.6,4.2,2.11,0,82.8,248.1,4.6,10.7,352.0,358.0,10.3,2.5
60,2026-09-28T00:00Z,22.61,-114.16,964.0,51.1,259.5,10.5,1.93,2,71.3,229.8,12.4,10.2,355.9,9.8,9.9,11.1
66,2026-09-28T06:00Z,23.55,-114.26,965.1,56.4,276.2,8.7,2.01,0,71.3,238.7,10.4,8.9,2.7,15.9,9.8,10.4
72,2026-09-28T12:00Z,24.38,-114.08,966.8,46.6,248.5,0.3,1.86,0,60.9,218.1,2.3,8.4,23.0,36.9,10.0,6.0
78,2026-09-28T18:00Z,25.10,-113.53,970.1,70.6,242.2,0.2,2.20,0,82.5,207.8,0.0,10.0,42.0,39.7,11.8,6.0
84,2026-09-29T00:00Z,25.87,-112.60,970.9,48.5,210.8,-2.5,1.87,0,64.0,190.0,-2.0,13.1,45.3,55.9,14.8,4.2
90,2026-09-29T06:00Z,26.95,-111.46,977.6,105.0,52.3,2.5,2.04,0,123.3,73.3,2.2,15.4,42.7,54.8,18.2,8.3
96,2026-09-29T12:00Z,28.12,-110.27,985.7,110.7,-43.9,2.9,1.20,1,109.8,-74.6,2.5,15.8,42.0,62.4,23.1,5.8
