fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T18:00Z,81.31,-145.55,978.5,-105.5,58.6,12.3,-1.02,6,-161.9,-74.5,1.4,1.8,38.8,55.0,4.0,-7.4
6,2026-09-25T00:00Z,81.45,-144.80,979.4,-110.1,87.7,23.5,-0.89,6,-157.2,-38.3,6.8,4.8,9.9,73.4,5.4,-0.4
12,2026-09-25T06:00Z,82.26,-144.39,981.7,-155.0,77.7,,-1.18,,-192.4,-55.2,10.0,5.3,43.9,44.9,1.8,10.2
18,2026-09-25T12:00Z,82.21,-139.67,983.3,-136.9,67.6,4.4,-1.17,,-193.4,-58.7,2.7,6.6,77.4,45.8,3.2,9.5
24,2026-09-25T18:00Z,82.55,-134.61,985.3,-98.1,48.7,-0.1,-1.05,6,-163.5,-72.0,-1.2,6.4,64.5,31.6,4.1,3.4
30,2026-09-26T00:00Z,82.76,-130.83,987.9,-122.4,61.1,-0.6,-1.14,6,-183.1,-57.4,-0.5,6.6,48.7,45.8,5.8,3.5
36,2026-09-26T06:00Z,83.41,-126.51,990.3,-139.9,52.7,-1.2,-1.29,6,-199.2,-72.9,-1.0,7.1,45.2,38.6,6.1,1.4
42,2026-09-26T12:00Z,83.76,-122.27,993.4,-140.1,27.8,1.7,-1.50,6,-201.5,-94.7,1.4,7.8,35.3,37.6,7.5,4.8
48,2026-09-26T18:00Z,84.68,-117.89,996.1,-129.9,25.4,3.8,-1.47,6,-198.5,-96.4,3.6,10.3,25.5,46.4,7.4,5.4
